provider,prompt_id,category,baseline_score,standard_score_after,standard_improvement,standard_hs_defects_after,standard_time_ms,dgeo_score_after,dgeo_improvement,dgeo_hs_defects_after,dgeo_time_ms,shdt_score_after,shdt_improvement,shdt_hs_defects_after,shdt_time_ms,cdraf_score_after,cdraf_improvement,cdraf_hs_defects_after,cdraf_time_ms,unified_score_after,unified_improvement,unified_hs_defects_after,unified_time_ms
gemini,B018,reasoning,0,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR
gemini,B019,reasoning,4.36,5.33,0.97,5,40864,7.8,3.44,2,94256,7.05,2.69,3,67061,5.36,1.0,5,130515,9.5,5.14,1,286417
gemini,B020,reasoning,6.78,6.92,0.14,1,37637,7.57,0.79,4,99998,7.88,1.1,3,67101,8.5,1.72,0,109651,7.5,0.72,1,320175
gemini,B021,reasoning,6.41,5.85,-0.56,7,36476,7.64,1.23,5,114178,7.71,1.3,3,74636,5.77,-0.64,7,145501,9.5,3.09,0,340128
gemini,B022,reasoning,4.01,4.47,0.46,3,97290,7.24,3.23,3,155644,9.6,5.59,0,145611,7.5,3.49,1,168955,7.5,3.49,2,415534
gemini,B023,creative_writing,5.1,7.5,2.4,2,30755,7.5,2.4,2,72496,7.5,2.4,2,68403,7.5,2.4,1,110724,7.5,2.4,2,326459
gemini,B024,creative_writing,4.81,7.5,2.69,2,31484,7.8,2.99,3,91100,7.89,3.08,2,65172,8.0,3.19,1,86921,8.0,3.19,1,209530
gemini,B025,creative_writing,7.5,7.5,0.0,2,31518,7.5,0.0,2,104544,9.67,2.17,0,74036,8.0,0.5,2,89614,7.5,0.0,2,310236
gemini,B026,creative_writing,6.35,7.5,1.15,2,22733,7.5,1.15,2,73117,7.5,1.15,1,37355,7.5,1.15,3,106292,7.5,1.15,2,301209
gemini,B027,creative_writing,3.0,7.29,4.29,2,26637,7.5,4.5,2,91694,7.24,4.24,3,67879,7.5,4.5,2,100628,7.5,4.5,3,312079
gemini,B028,creative_writing,5.1,8.0,2.9,1,28057,7.5,2.4,3,103926,4.96,-0.14,3,60158,7.5,2.4,2,100823,7.5,2.4,2,324354
gemini,B029,creative_writing,5.85,7.5,1.65,3,23474,6.97,1.12,1,94825,7.79,1.94,4,80484,7.05,1.2,3,119144,9.67,3.82,0,291503
gemini,B030,creative_writing,5.71,4.91,-0.8,2,40144,7.5,1.79,2,96217,7.02,1.31,4,72208,7.26,1.55,3,114837,7.5,1.79,4,146684
